lat,lng,name,source,osm_type,osm_id
50.367395,18.841246,"Na Dołku",osm,way,167420946
54.205997,16.202182,"Hala Widowisko-Sportowa",osm,way,167446798
51.751928,18.072957,,osm,way,167455923
50.335103,19.215489,,osm,way,167490596
50.282798,18.970059,,osm,way,167500298
52.234992,21.058985,,osm,way,167527423
52.229708,21.0641,,osm,way,167531915
51.134598,23.488269,,osm,way,167568525
51.50243,15.207972,,osm,way,167581719
50.279714,18.971122,,osm,way,167582691
51.168936,23.348396,,osm,way,167588021
52.416071,20.739186,,osm,way,167613704
50.469248,19.243222,,osm,way,167665271
54.193948,16.21194,,osm,way,167699986
52.110301,19.935134,,osm,way,167702474
54.499296,18.55087,,osm,way,167736458
50.327886,19.218636,,osm,way,167773285
51.223894,22.520328,,osm,way,167794052
51.223852,22.52005,,osm,way,167794053
50.996965,16.982345,,osm,way,167831592
52.100877,20.639208,,osm,way,167851260
50.327446,18.934852,,osm,way,167914330
51.757299,18.087195,,osm,way,167921010
54.568495,18.392861,,osm,way,167955541
51.747905,18.054492,,osm,way,167972981
51.747936,18.051002,,osm,way,167972994
50.353198,18.898652,,osm,way,167986295
51.752537,18.054418,,osm,way,168003844
52.978018,18.562937,,osm,way,168026739
50.364786,19.000342,,osm,way,168033826
50.321025,18.879669,,osm,way,168037240
51.746739,19.389581,,osm,way,168069262
50.324329,18.934242,,osm,way,168105584
53.801548,22.349773,,osm,way,168141983
50.123873,18.981199,,osm,way,168200948
53.122985,18.051148,,osm,way,168292944
50.233136,18.977339,,osm,way,168400956
51.25671,21.944663,,osm,way,168430587
50.321545,18.89239,,osm,way,168454875
52.210654,20.818398,,osm,way,168456159
50.313981,18.880581,,osm,way,168469312
50.519125,22.145827,,osm,way,168520625
52.273595,20.957155,,osm,way,168564545
52.27151,20.957926,,osm,way,168566288
52.277085,20.940258,,osm,way,168568641
50.309166,18.759113,,osm,way,168727407
50.292741,19.246336,,osm,way,168772112
50.550393,22.298363,,osm,way,168806522
50.230093,18.657384,,osm,way,168864691
50.28902,18.870783,,osm,way,168872321
54.329761,18.198003,,osm,way,168887559
50.204995,18.985894,,osm,way,168905988
50.204878,18.985701,,osm,way,168905989
50.048167,18.607084,,osm,way,168978383
53.807858,22.363642,,osm,way,168994332
53.126726,14.388377,,osm,way,169039202
52.233647,20.940112,,osm,way,169102670
50.044886,18.608819,,osm,way,169130639
50.092526,18.549459,,osm,way,169132806
50.33434,18.78321,,osm,way,169201996
54.206994,16.190678,,osm,way,169212714
52.330888,20.96815,,osm,way,169220688
53.651002,14.62644,"kort, koszykówka, siatkówka",osm,way,169229037
53.64729,14.632086,"kort, koszykówka",osm,way,169229348
52.23079,21.051053,,osm,way,169234192
52.230966,21.050906,,osm,way,169234193
52.262505,21.026869,,osm,way,169236266
52.192059,21.005712,,osm,way,169244183
52.191671,21.007497,,osm,way,169244184
50.009365,18.466849,,osm,way,169261349
52.285445,20.975482,,osm,way,169312482
52.28547,20.975726,,osm,way,169312484
52.280581,20.973904,,osm,way,169316180
52.276153,20.985039,,osm,way,169316718
51.803793,20.473113,,osm,way,169318533
52.261978,20.987533,,osm,way,169348404
52.276113,20.931849,,osm,way,169445661
50.013698,18.456755,,osm,way,169488289
52.215089,21.017933,,osm,way,169522876
52.282899,20.933518,,osm,way,169658915
51.357179,19.391098,,osm,way,169712668
51.365011,19.373844,,osm,way,169712671
51.358831,19.37661,,osm,way,169712680
50.294806,18.728307,,osm,way,169748863
50.318889,19.199261,,osm,way,169844630
50.316588,18.781104,,osm,way,170077157
50.223551,18.958358,,osm,way,170089762
52.398265,16.863251,,osm,way,170124086
53.45767,14.535067,,osm,way,170138173
53.456284,14.53653,,osm,way,170138178
54.203708,16.188345,,osm,way,170155956
53.529475,20.719968,,osm,way,170162707
53.433272,14.550812,,osm,way,170174073
53.433207,14.55061,,osm,way,170174077
49.684975,21.773551,,osm,way,170191461
49.683275,21.780939,,osm,way,170199577
